SiteKey,YearMonthKey,ShiftKey,WorkerClassKey,HoursWorked
1,202401,1,1,30050
1,202401,1,2,13122
1,202401,2,1,16599
1,202401,2,2,7761
1,202401,3,1,10526
1,202401,3,2,4918
1,202402,1,1,30961
1,202402,1,2,13225
1,202402,2,1,16899
1,202402,2,2,7575
1,202402,3,1,9890
1,202402,3,2,4820
1,202403,1,1,30678
1,202403,1,2,14754
1,202403,2,1,19103
1,202403,2,2,8878
1,202403,3,1,10881
1,202403,3,2,5355
1,202404,1,1,34960
1,202404,1,2,14923
1,202404,2,1,20161
1,202404,2,2,9369
1,202404,3,1,11445
1,202404,3,2,5264
1,202405,1,1,33687
1,202405,1,2,14733
1,202405,2,1,17524
1,202405,2,2,8250
1,202405,3,1,11515
1,202405,3,2,5267
1,202406,1,1,30659
1,202406,1,2,14298
1,202406,2,1,17133
1,202406,2,2,8484
1,202406,3,1,10086
1,202406,3,2,4847
1,202407,1,1,30738
1,202407,1,2,14112
1,202407,2,1,17800
1,202407,2,2,8102
1,202407,3,1,10487
1,202407,3,2,4554
1,202408,1,1,28604
1,202408,1,2,13564
1,202408,2,1,16199
1,202408,2,2,7771
1,202408,3,1,9745
1,202408,3,2,4688
1,202409,1,1,32755
1,202409,1,2,14922
1,202409,2,1,18305
1,202409,2,2,8445
1,202409,3,1,10845
1,202409,3,2,5525
1,202410,1,1,34007
1,202410,1,2,15930
1,202410,2,1,18516
1,202410,2,2,9321
1,202410,3,1,11099
1,202410,3,2,5365
1,202411,1,1,33184
1,202411,1,2,14998
1,202411,2,1,18207
1,202411,2,2,8698
1,202411,3,1,11296
1,202411,3,2,5275
1,202412,1,1,28607
1,202412,1,2,13133
1,202412,2,1,16682
1,202412,2,2,7804
1,202412,3,1,9881
1,202412,3,2,5072
1,202501,1,1,30904
1,202501,1,2,13606
1,202501,2,1,17377
1,202501,2,2,7927
1,202501,3,1,10745
1,202501,3,2,4792
1,202502,1,1,28735
1,202502,1,2,13492
1,202502,2,1,17185
1,202502,2,2,7800
1,202502,3,1,10339
1,202502,3,2,5046
1,202503,1,1,32133
1,202503,1,2,14791
1,202503,2,1,19886
1,202503,2,2,8841
1,202503,3,1,10707
1,202503,3,2,5011
1,202504,1,1,32130
1,202504,1,2,16106
1,202504,2,1,20129
1,202504,2,2,9066
1,202504,3,1,11058
1,202504,3,2,5413
1,202505,1,1,33836
1,202505,1,2,15080
1,202505,2,1,19466
1,202505,2,2,9046
1,202505,3,1,10406
1,202505,3,2,5339
1,202506,1,1,30214
1,202506,1,2,13977
1,202506,2,1,16582
1,202506,2,2,8164
1,202506,3,1,9759
1,202506,3,2,4779
1,202507,1,1,29405
1,202507,1,2,14672
1,202507,2,1,17829
1,202507,2,2,7800
1,202507,3,1,10236
1,202507,3,2,4631
1,202508,1,1,31033
1,202508,1,2,14533
