SiteKey,YearMonthKey,IndicatorKey,EventCount
1,202401,1,39
1,202401,2,62
1,202401,3,83
1,202401,4,17
1,202401,5,115
1,202402,1,40
1,202402,2,52
1,202402,3,80
1,202402,4,17
1,202402,5,123
1,202403,1,39
1,202403,2,55
1,202403,3,84
1,202403,4,19
1,202403,5,134
1,202404,1,46
1,202404,2,68
1,202404,3,91
1,202404,4,20
1,202404,5,122
1,202405,1,41
1,202405,2,65
1,202405,3,99
1,202405,4,21
1,202405,5,133
1,202406,1,38
1,202406,2,64
1,202406,3,91
1,202406,4,21
1,202406,5,107
1,202407,1,36
1,202407,2,62
1,202407,3,85
1,202407,4,22
1,202407,5,118
1,202408,1,35
1,202408,2,58
1,202408,3,83
1,202408,4,18
1,202408,5,119
1,202409,1,35
1,202409,2,59
1,202409,3,85
1,202409,4,19
1,202409,5,126
1,202410,1,47
1,202410,2,64
1,202410,3,99
1,202410,4,21
1,202410,5,125
1,202411,1,43
1,202411,2,72
1,202411,3,106
1,202411,4,22
1,202411,5,116
1,202412,1,33
1,202412,2,52
1,202412,3,72
1,202412,4,17
1,202412,5,108
1,202501,1,41
1,202501,2,66
1,202501,3,88
1,202501,4,20
1,202501,5,133
1,202502,1,41
1,202502,2,69
1,202502,3,97
1,202502,4,19
1,202502,5,123
1,202503,1,39
1,202503,2,60
1,202503,3,90
1,202503,4,25
1,202503,5,116
1,202504,1,41
1,202504,2,61
1,202504,3,100
1,202504,4,23
1,202504,5,129
1,202505,1,49
1,202505,2,78
1,202505,3,98
1,202505,4,20
1,202505,5,140
1,202506,1,39
1,202506,2,61
1,202506,3,94
1,202506,4,20
1,202506,5,131
1,202507,1,42
1,202507,2,69
1,202507,3,86
1,202507,4,18
1,202507,5,129
1,202508,1,43
1,202508,2,60
1,202508,3,93
1,202508,4,20
1,202508,5,139
1,202509,1,39
1,202509,2,81
1,202509,3,115
1,202509,4,23
1,202509,5,155
1,202510,1,41
1,202510,2,83
1,202510,3,105
1,202510,4,25
1,202510,5,127
1,202511,1,49
1,202511,2,80
1,202511,3,108
1,202511,4,23
1,202511,5,154
1,202512,1,45
1,202512,2,70
1,202512,3,103
1,202512,4,21
1,202512,5,115
1,202601,1,35
1,202601,2,66
1,202601,3,89
1,202601,4,22
1,202601,5,109
1,202602,1,44
1,202602,2,67
1,202602,3,108
1,202602,4,22
1,202602,5,125
1,202603,1,45
1,202603,2,79
1,202603,3,107
1,202603,4,25
1,202603,5,158
1,202604,1,45
1,202604,2,85
1,202604,3,103
1,202604,4,27
1,202604,5,141
1,202605,1,43
1,202605,2,78
1,202605,3,98
1,202605,4,27
1,202605,5,148
1,202606,1,42
1,202606,2,71
1,202606,3,106
1,202606,4,20
1,202606,5,115
2,202401,1,46
2,202401,2,68
2,202401,3,94
2,202401,4,24
2,202401,5,161
2,202402,1,40
2,202402,2,72
2,202402,3,110
2,202402,4,26
2,202402,5,128
2,202403,1,44
2,202403,2,86
2,202403,3,124
2,202403,4,28
2,202403,5,159
2,202404,1,59
2,202404,2,92
2,202404,3,125
2,202404,4,26
2,202404,5,169
2,202405,1,45
2,202405,2,86
2,202405,3,122
2,202405,4,29
2,202405,5,145
2,202406,1,52
2,202406,2,72
2,202406,3,110
2,202406,4,27
2,202406,5,145
2,202407,1,41
2,202407,2,82
2,202407,3,108
2,202407,4,27
2,202407,5,158
2,202408,1,45
2,202408,2,68
2,202408,3,122
2,202408,4,21
2,202408,5,161
2,202409,1,50
2,202409,2,73
2,202409,3,124
2,202409,4,24
2,202409,5,158
2,202410,1,47
2,202410,2,98
2,202410,3,124
2,202410,4,30
2,202410,5,160
2,202411,1,51
2,202411,2,77
2,202411,3,122
2,202411,4,30
2,202411,5,164
2,202412,1,43
2,202412,2,75
2,202412,3,100
2,202412,4,24
2,202412,5,154
2,202501,1,43
2,202501,2,86
2,202501,3,111
2,202501,4,24
2,202501,5,153
2,202502,1,44
2,202502,2,86
2,202502,3,100
2,202502,4,29
2,202502,5,153
2,202503,1,53
2,202503,2,99
2,202503,3,124
2,202503,4,28
2,202503,5,179
2,202504,1,52
2,202504,2,91
2,202504,3,136
2,202504,4,33
2,202504,5,154
2,202505,1,50
2,202505,2,89
2,202505,3,135
2,202505,4,30
2,202505,5,176
2,202506,1,49
2,202506,2,79
2,202506,3,117
2,202506,4,31
2,202506,5,181
2,202507,1,47
2,202507,2,91
2,202507,3,121
2,202507,4,24
2,202507,5,138
2,202508,1,52
2,202508,2,88
2,202508,3,120
2,202508,4,26
2,202508,5,145
2,202509,1,65
2,202509,2,100
2,202509,3,121
2,202509,4,29
2,202509,5,195
2,202510,1,61
2,202510,2,102
2,202510,3,127
2,202510,4,36
2,202510,5,199
2,202511,1,58
2,202511,2,91
2,202511,3,108
2,202511,4,28
2,202511,5,155
2,202512,1,57
2,202512,2,77
2,202512,3,136
2,202512,4,26
2,202512,5,164
2,202601,1,54
2,202601,2,95
2,202601,3,127
2,202601,4,27
2,202601,5,160
2,202602,1,50
2,202602,2,99
2,202602,3,127
2,202602,4,28
2,202602,5,158
2,202603,1,51
2,202603,2,107
2,202603,3,149
2,202603,4,33
2,202603,5,200
2,202604,1,61
2,202604,2,98
2,202604,3,155
2,202604,4,32
2,202604,5,214
2,202605,1,53
2,202605,2,89
2,202605,3,155
2,202605,4,33
2,202605,5,192
2,202606,1,58
2,202606,2,92
2,202606,3,135
2,202606,4,31
2,202606,5,192
3,202401,1,28
3,202401,2,45
3,202401,3,61
3,202401,4,17
3,202401,5,105
3,202402,1,33
3,202402,2,47
3,202402,3,60
3,202402,4,16
3,202402,5,94
3,202403,1,34
3,202403,2,52
3,202403,3,83
3,202403,4,16
3,202403,5,109
3,202404,1,31
3,202404,2,59
3,202404,3,69
3,202404,4,21
3,202404,5,118
3,202405,1,35
3,202405,2,49
3,202405,3,65
3,202405,4,16
3,202405,5,114
3,202406,1,33
3,202406,2,51
3,202406,3,80
3,202406,4,16
3,202406,5,91
3,202407,1,31
3,202407,2,54
3,202407,3,77
3,202407,4,18
3,202407,5,102
3,202408,1,33
3,202408,2,46
3,202408,3,75
3,202408,4,15
3,202408,5,97
3,202409,1,31
3,202409,2,55
3,202409,3,70
3,202409,4,19
3,202409,5,104
3,202410,1,33
3,202410,2,54
3,202410,3,88
3,202410,4,18
3,202410,5,106
3,202411,1,33
3,202411,2,61
3,202411,3,70
3,202411,4,17
3,202411,5,113
3,202412,1,31
3,202412,2,45
3,202412,3,68
3,202412,4,15
3,202412,5,108
3,202501,1,29
3,202501,2,53
3,202501,3,64
3,202501,4,16
3,202501,5,109
3,202502,1,38
3,202502,2,47
3,202502,3,85
3,202502,4,18
3,202502,5,91
3,202503,1,42
3,202503,2,53
3,202503,3,79
3,202503,4,19
3,202503,5,108
3,202504,1,42
3,202504,2,61
3,202504,3,79
3,202504,4,21
3,202504,5,125
3,202505,1,38
3,202505,2,58
3,202505,3,91
3,202505,4,20
3,202505,5,116
3,202506,1,29
3,202506,2,50
3,202506,3,66
3,202506,4,16
3,202506,5,94
3,202507,1,37
3,202507,2,51
3,202507,3,67
3,202507,4,17
3,202507,5,91
3,202508,1,33
3,202508,2,51
3,202508,3,73
3,202508,4,21
3,202508,5,116
3,202509,1,38
3,202509,2,64
3,202509,3,82
3,202509,4,22
3,202509,5,119
3,202510,1,43
3,202510,2,72
3,202510,3,78
3,202510,4,21
3,202510,5,123
3,202511,1,32
3,202511,2,65
3,202511,3,82
3,202511,4,21
3,202511,5,127
3,202512,1,39
3,202512,2,59
3,202512,3,74
3,202512,4,17
3,202512,5,112
3,202601,1,39
3,202601,2,49
3,202601,3,73
3,202601,4,18
3,202601,5,110
3,202602,1,38
3,202602,2,65
3,202602,3,74
3,202602,4,17
3,202602,5,112
3,202603,1,40
3,202603,2,56
3,202603,3,89
